16;whiteduck;whiteduck@gmail.com;parola;FLYING_AND_SWIMMING;4.5;5.2
17;pinkduck;pinkduck@gmail.com;parola;FLYING;3.1;4.4
18;orangeduck;orangeduck@gmail.com;parola;SWIMMING;2.9;3.7
19;purpleduck;purpleduck@gmail.com;parola;FLYING_AND_SWIMMING;4.3;5.1
20;brownduck;brownduck@gmail.com;parola;FLYING;3.3;4.2
11;redduck;redduck@gmail.com;parola;FLYING;3.0;4.0;2
12;blueduck;blueduck@gmail.com;parola;SWIMMING;2.5;3.5;1
13;yellowduck;yellowduck@gmail.com;parola;FLYING_AND_SWIMMING;4.0;5.0
14;greenduck;greenduck@gmail.com;parola;FLYING;3.2;4.1
15;blackduck;blackduck@gmail.com;parola;SWIMMING;2.8;3.8
